latitude,longitude,altitude,geometry,@osmId,@snapshotTimestamp,leisure
52.4551007,13.3094395,,Point,node/237858787,2019-01-01T00:00:00Z,playground
52.4401206,13.3460937,,Point,node/271734801,2019-01-01T00:00:00Z,playground
52.4134409,13.32352,,Point,node/277786711,2019-01-01T00:00:00Z,playground
52.4154826,13.32146,,Point,node/277786722,2019-01-01T00:00:00Z,playground
52.4136713,13.3191168,,Point,node/277787525,2019-01-01T00:00:00Z,playground
52.4429012,13.3296947,,Point,node/277958289,2019-01-01T00:00:00Z,sports_centre
52.4477863,13.3203443,,Point,node/289014836,2019-01-01T00:00:00Z,playground
52.4686438,13.33063,,Point,node/297512173,2019-01-01T00:00:00Z,playground
52.432924,13.3151134,,Point,node/299207667,2019-01-01T00:00:00Z,playground
52.4645658,13.3323284,,Point,node/300406806,2019-01-01T00:00:00Z,pitch
52.3867518,13.2827335,,Point,node/303001360,2019-01-01T00:00:00Z,playground
52.4643016,13.3583163,,Point,node/390351791,2019-01-01T00:00:00Z,playground
52.4434532,13.3271911,,Point,node/431050783,2019-01-01T00:00:00Z,marina
52.4258036,13.2920175,,Point,node/522988551,2019-01-01T00:00:00Z,playground
52.4705009,13.3408149,,Point,node/529686828,2019-01-01T00:00:00Z,playground
52.4396621,13.3523628,,Point,node/585164806,2019-01-01T00:00:00Z,playground
52.4351855,13.3590896,,Point,node/602457104,2019-01-01T00:00:00Z,playground
52.4576441,13.2794433,,Point,node/691275066,2019-01-01T00:00:00Z,sauna
52.442207,13.343652,,Point,node/691299412,2019-01-01T00:00:00Z,sauna
52.4335097,13.3125929,,Point,node/691300596,2019-01-01T00:00:00Z,sauna
52.4440686,13.3153344,,Point,node/802697309,2019-01-01T00:00:00Z,sports_centre
52.4644342,13.3269685,,Point,node/812219708,2019-01-01T00:00:00Z,fitness_centre
52.4648869,13.3277034,,Point,node/833174269,2019-01-01T00:00:00Z,sports_centre
52.4190685,13.3592598,,Point,node/852868183,2019-01-01T00:00:00Z,sports_centre
52.4221861,13.3583522,,Point,node/852868212,2019-01-01T00:00:00Z,sports_centre
52.4662347,13.2893956,,Point,node/916565504,2019-01-01T00:00:00Z,pitch
52.4609717,13.3250803,,Point,node/928931970,2019-01-01T00:00:00Z,sports_centre
52.4338756,13.4693072,,Point,node/277958291,2019-01-01T00:00:00Z,sports_centre
52.4612367,13.5126209,,Point,node/281426523,2019-01-01T00:00:00Z,sports_centre
52.4513554,13.4501505,,Point,node/288744447,2019-01-01T00:00:00Z,playground
52.464632,13.3272099,,Point,node/970070951,2019-01-01T00:00:00Z,fitness_centre
52.4653795,13.3242617,,Point,node/973489897,2019-01-01T00:00:00Z,pitch
52.4515636,13.3111461,,Point,node/1010611439,2019-01-01T00:00:00Z,playground
52.4623702,13.4901944,,Point,node/379589320,2019-01-01T00:00:00Z,playground
52.4079783,13.3566942,,Point,node/1195426382,2019-01-01T00:00:00Z,playground
52.470673,13.3310663,,Point,node/1333143675,2019-01-01T00:00:00Z,fitness_centre
52.4538108,13.5047539,,Point,node/385199626,2019-01-01T00:00:00Z,playground
52.4587715,13.3500605,,Point,node/1372800767,2019-01-01T00:00:00Z,playground
52.4099841,13.3066979,,Point,node/1375008857,2019-01-01T00:00:00Z,pitch
52.4645351,13.4677986,,Point,node/453218651,2019-01-01T00:00:00Z,playground
52.4211004,13.4623959,,Point,node/652427986,2019-01-01T00:00:00Z,playground
52.4099872,13.306587,,Point,node/1375008858,2019-01-01T00:00:00Z,pitch
52.4226246,13.4630661,,Point,node/652427987,2019-01-01T00:00:00Z,playground
52.4400675,13.2899805,,Point,node/1382516064,2019-01-01T00:00:00Z,playground
52.4234644,13.4670515,,Point,node/652427988,2019-01-01T00:00:00Z,playground
52.4425157,13.3073545,,Point,node/1385797623,2019-01-01T00:00:00Z,playground
52.4515789,13.3364212,,Point,node/1474024957,2019-01-01T00:00:00Z,playground
52.4256019,13.4681847,,Point,node/652427989,2019-01-01T00:00:00Z,playground
52.4151006,13.3592842,,Point,node/1540807234,2019-01-01T00:00:00Z,swimming_pool
52.4246387,13.3507353,,Point,node/1582641523,2019-01-01T00:00:00Z,swimming_pool
52.4248899,13.4677995,,Point,node/668662579,2019-01-01T00:00:00Z,playground
52.3831999,13.2841597,,Point,node/1682115214,2019-01-01T00:00:00Z,playground
52.4249449,13.4701209,,Point,node/700226879,2019-01-01T00:00:00Z,playground
52.4009521,13.502603,,Point,node/701039972,2019-01-01T00:00:00Z,playground
52.4031371,13.5072516,,Point,node/703744109,2019-01-01T00:00:00Z,sports_centre
52.4649933,13.5281734,,Point,node/715816177,2019-01-01T00:00:00Z,playground
52.4249936,13.477647,,Point,node/766696016,2019-01-01T00:00:00Z,playground
52.4616006,13.5127271,,Point,node/978426577,2019-01-01T00:00:00Z,sports_centre
52.4642636,13.4760658,,Point,node/983586684,2019-01-01T00:00:00Z,playground
52.4658739,13.4657612,,Point,node/1256564252,2019-01-01T00:00:00Z,playground
52.4652056,13.4665163,,Point,node/1286448409,2019-01-01T00:00:00Z,playground
52.4421912,13.5023129,,Point,node/1508583185,2019-01-01T00:00:00Z,playground
52.4574479,13.5187553,,Point,node/1681550991,2019-01-01T00:00:00Z,playground
52.4689667,13.5226031,,Point,node/1797513163,2019-01-01T00:00:00Z,playground
52.4586076,13.3274617,,Point,node/1773500987,2019-01-01T00:00:00Z,sports_centre
52.4245343,13.480741,,Point,node/2032185678,2019-01-01T00:00:00Z,playground
52.4246773,13.4832492,,Point,node/2032185730,2019-01-01T00:00:00Z,playground
52.4235866,13.4788978,,Point,node/2045223683,2019-01-01T00:00:00Z,playground
52.4198638,13.4908169,,Point,node/2050196095,2019-01-01T00:00:00Z,playground
52.4172533,13.51052,,Point,node/2052974715,2019-01-01T00:00:00Z,playground
52.4507723,13.309164,,Point,node/1783040024,2019-01-01T00:00:00Z,playground
52.4682461,13.3148514,,Point,node/1800728066,2019-01-01T00:00:00Z,pitch
52.460128,13.3499336,,Point,node/1853277636,2019-01-01T00:00:00Z,playground
52.4185611,13.5003363,,Point,node/2052974736,2019-01-01T00:00:00Z,playground
52.4606706,13.349719,,Point,node/1853277653,2019-01-01T00:00:00Z,playground
52.4679511,13.3226791,,Point,node/1861406654,2019-01-01T00:00:00Z,pitch
52.4679739,13.3226809,,Point,node/1861406657,2019-01-01T00:00:00Z,pitch
52.4233525,13.4815916,,Point,node/2074394142,2019-01-01T00:00:00Z,playground
52.4047605,13.5303388,,Point,node/2088389618,2019-01-01T00:00:00Z,playground
52.4283064,13.4627528,,Point,node/2090041505,2019-01-01T00:00:00Z,playground
52.4290257,13.3435392,,Point,node/1865832177,2019-01-01T00:00:00Z,pitch
52.5949184,13.286619,,Point,node/268423760,2019-01-01T00:00:00Z,sports_centre
52.4292151,13.34545,,Point,node/1865832186,2019-01-01T00:00:00Z,pitch
52.4291696,13.3453524,,Point,node/1865832189,2019-01-01T00:00:00Z,pitch
52.4307693,13.5019915,,Point,node/2224623258,2019-01-01T00:00:00Z,slipway
52.4554479,13.3206811,,Point,node/1914078965,2019-01-01T00:00:00Z,sports_centre
52.5846088,13.3117903,,Point,node/277958275,2019-01-01T00:00:00Z,sports_centre
52.4705472,13.3242276,,Point,node/1918525780,2019-01-01T00:00:00Z,sports_centre
52.4683563,13.5073941,,Point,node/2287046201,2019-01-01T00:00:00Z,playground
52.4542261,13.3262147,,Point,node/1918534365,2019-01-01T00:00:00Z,sports_centre
52.5612703,13.3590446,,Point,node/291382416,2019-01-01T00:00:00Z,playground
52.4583408,13.4547339,,Point,node/2347288661,2019-01-01T00:00:00Z,sports_centre
52.4222583,13.3583349,,Point,node/1918544438,2019-01-01T00:00:00Z,sports_centre
52.4376732,13.3578891,,Point,node/2021499019,2019-01-01T00:00:00Z,pitch
52.4639256,13.4983345,,Point,node/2427830701,2019-01-01T00:00:00Z,fitness_centre
52.4349037,13.2771922,,Point,node/2319706912,2019-01-01T00:00:00Z,playground
52.4357454,13.276352,,Point,node/2319706914,2019-01-01T00:00:00Z,playground
52.4604899,13.3497189,,Point,node/2360631253,2019-01-01T00:00:00Z,pitch
52.5726605,13.3560486,,Point,node/339587017,2019-01-01T00:00:00Z,playground
52.4677059,13.3344779,,Point,node/2376849876,2019-01-01T00:00:00Z,pitch
52.4630692,13.4912452,,Point,node/2741612286,2019-01-01T00:00:00Z,playground
52.4326318,13.3581686,,Point,node/2390660480,2019-01-01T00:00:00Z,playground
52.4631636,13.5215362,,Point,node/2870917194,2019-01-01T00:00:00Z,playground
52.5717517,13.3553248,,Point,node/339587018,2019-01-01T00:00:00Z,playground
52.4634187,13.5189562,,Point,node/2870917200,2019-01-01T00:00:00Z,playground
52.4531932,13.2814029,,Point,node/2394142526,2019-01-01T00:00:00Z,playground
52.5711017,13.3568166,,Point,node/339587019,2019-01-01T00:00:00Z,playground
52.452038,13.5097554,,Point,node/3277747061,2019-01-01T00:00:00Z,sauna
52.4350748,13.4585707,,Point,node/3350321894,2019-01-01T00:00:00Z,playground
52.4056134,13.506751,,Point,node/3397223793,2019-01-01T00:00:00Z,playground
52.4097683,13.4778408,,Point,node/3492966809,2019-01-01T00:00:00Z,fitness_centre
52.5720527,13.3575155,,Point,node/339587020,2019-01-01T00:00:00Z,playground
52.4623481,13.4715512,,Point,node/3721960081,2019-01-01T00:00:00Z,playground
52.4642368,13.5154293,,Point,node/3781917531,2019-01-01T00:00:00Z,playground
52.4662014,13.4726418,,Point,node/3823253554,2019-01-01T00:00:00Z,playground
52.4549885,13.5198701,,Point,node/3881897124,2019-01-01T00:00:00Z,playground
52.4551116,13.5200371,,Point,node/3882198350,2019-01-01T00:00:00Z,playground
52.4567923,13.5097707,,Point,node/3908227046,2019-01-01T00:00:00Z,tanning_salon
52.4589084,13.5058557,,Point,node/3908290426,2019-01-01T00:00:00Z,adult_gaming_centre
52.3811078,13.1161868,,Point,node/277958294,2019-01-01T00:00:00Z,sports_centre
52.3886771,13.5043433,,Point,node/3925230091,2019-01-01T00:00:00Z,playground
52.3824723,13.0910288,,Point,node/296413606,2019-01-01T00:00:00Z,playground
52.4566719,13.5193384,,Point,node/3972068385,2019-01-01T00:00:00Z,sports_centre
52.3656687,13.3072162,,Point,node/336246923,2019-01-01T00:00:00Z,playground
52.3642923,13.3076535,,Point,node/336247002,2019-01-01T00:00:00Z,playground
52.375011,13.2286511,,Point,node/340393362,2019-01-01T00:00:00Z,playground
52.5770247,13.2838394,,Point,node/339594491,2019-01-01T00:00:00Z,playground
52.5639123,13.3578052,,Point,node/366626801,2019-01-01T00:00:00Z,playground
52.3820323,13.2808109,,Point,node/348321369,2019-01-01T00:00:00Z,playground
52.3790283,13.1220224,,Point,node/434725535,2019-01-01T00:00:00Z,playground
52.4637474,13.3213337,,Point,node/2399895422,2019-01-01T00:00:00Z,pitch
52.3630328,13.1352186,,Point,node/495253478,2019-01-01T00:00:00Z,playground
52.3629972,13.1364801,,Point,node/495253501,2019-01-01T00:00:00Z,playground
52.3737399,13.1047306,,Point,node/569934279,2019-01-01T00:00:00Z,playground
52.3469695,13.0970092,,Point,node/1118676864,2019-01-01T00:00:00Z,playground
52.3497741,13.1035031,,Point,node/1118821847,2019-01-01T00:00:00Z,tanning_salon
52.4565346,13.5195234,,Point,node/3972068386,2019-01-01T00:00:00Z,playground
52.3742551,13.1349531,,Point,node/1207917326,2019-01-01T00:00:00Z,playground
52.3679924,13.1389558,,Point,node/1275848615,2019-01-01T00:00:00Z,playground
52.3665921,13.1416813,,Point,node/1275848635,2019-01-01T00:00:00Z,playground
52.3683629,13.1395038,,Point,node/1275848674,2019-01-01T00:00:00Z,playground
52.4623254,13.529981,,Point,node/4219866805,2019-01-01T00:00:00Z,playground
52.3674463,13.1427513,,Point,node/1275848686,2019-01-01T00:00:00Z,playground
52.4652028,13.4760258,,Point,node/4415989126,2019-01-01T00:00:00Z,playground
52.3676332,13.1383986,,Point,node/1275848691,2019-01-01T00:00:00Z,playground
52.4635028,13.4756416,,Point,node/4415989699,2019-01-01T00:00:00Z,playground
52.6395425,13.3236992,,Point,node/492018705,2019-01-01T00:00:00Z,playground
52.3682523,13.1393567,,Point,node/1275848693,2019-01-01T00:00:00Z,playground
52.4620074,13.5124714,,Point,node/4420389490,2019-01-01T00:00:00Z,sports_centre
52.3672713,13.1381958,,Point,node/1275848733,2019-01-01T00:00:00Z,playground
52.4670248,13.4808804,,Point,node/4426813653,2019-01-01T00:00:00Z,playground
52.3676011,13.1424379,,Point,node/1275848769,2019-01-01T00:00:00Z,playground
52.4676928,13.4860986,,Point,node/4426813698,2019-01-01T00:00:00Z,playground
52.617855,13.337092,,Point,node/492022212,2019-01-01T00:00:00Z,playground
52.4662612,13.4875893,,Point,node/4712129082,2019-01-01T00:00:00Z,fitness_centre
52.468851,13.4926986,,Point,node/4717970757,2019-01-01T00:00:00Z,playground
52.3998711,13.5333329,,Point,node/4830356823,2019-01-01T00:00:00Z,sports_centre
52.6326935,13.3507281,,Point,node/503219429,2019-01-01T00:00:00Z,playground
52.4637604,13.3214542,,Point,node/2399895424,2019-01-01T00:00:00Z,pitch
52.4500165,13.4505762,,Point,node/4993228869,2019-01-01T00:00:00Z,playground
52.6427795,13.3390683,,Point,node/600379026,2019-01-01T00:00:00Z,horse_riding
